symbol,company,purpose,event_date
MICEL,MIC Electronics Limited,Other business matters,05-01-2024
SOTL,Savita Oil Technologies Limited,Other business matters,17-01-2024
INDUSINDBK,IndusInd Bank Limited,Financial Results,18-01-2024
SASKEN,Sasken Technologies Limited,Financial Results/Other business matters,23-01-2024
JPASSOCIAT,Jaiprakash Associates Limited,Financial Results/Other business matters,30-01-2024
NETWEB,Netweb Technologies India Limited,Financial Results/Other business matters,23-01-2024
VAIBHAVGBL,Vaibhav Global Limited,Financial Results/Dividend,30-01-2024
KUANTUM,Kuantum Papers Limited,Financial Results/Other business matters,01-02-2024
INDUSTOWER,Indus Towers Limited,Financial Results,23-01-2024
S&SPOWER,S&S Power Switchgears Limited,Other business matters,25-01-2024
BROOKS,Brooks Laboratories Limited,Financial Results,31-01-2024
ABREL,Aditya Birla Real Estate Limited,Financial Results,02-02-2024
WHIRLPOOL,Whirlpool of India Limited,Financial Results,02-02-2024
AXITA,Axita Cotton Limited,Financial Results/Other business matters,19-01-2024
TATVA,Tatva Chintan Pharma Chem Limited,Financial Results,20-01-2024
ALIVUS,Alivus Life Sciences Limited,Financial Results,23-01-2024
WHEELS,Wheels India Limited,Financial Results,30-01-2024
ICICIBANK,ICICI Bank Limited,Financial Results,20-01-2024
KTKBANK,The Karnataka Bank Limited,Fund Raising,27-01-2024
RUSTOMJEE,Keystone Realtors Limited,Financial Results/Fund Raising/Other business matters,30-01-2024
JUBLPHARMA,Jubilant Pharmova Limited,Financial Results,02-02-2024
STYRENIX,Styrenix Performance Materials Limited,Financial Results/Dividend,03-02-2024
IFBAGRO,IFB Agro Industries Limited,Financial Results,06-02-2024
CIPLA,Cipla Limited,Financial Results,25-01-2024
INDIGO,InterGlobe Aviation Limited,Financial Results,02-02-2024
ANGELONE,Angel One Limited,Fund Raising,15-01-2024
SHAREINDIA,Share India Securities Limited,Financial Results/Dividend,24-01-2024
SHRIRAMFIN,Shriram Finance Limited,Financial Results/Fund Raising/Other business matters,25-01-2024
ASTRAL,Astral Limited,Financial Results,30-01-2024
KSCL,Kaveri Seed Company Limited,Financial Results,02-02-2024
SURANASOL,Surana Solar Limited,Financial Results,18-01-2024
WEALTH,Wealth First Portfolio Managers Limited,Financial Results/Other business matters,24-01-2024
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Results,30-01-2024
GODREJPROP,Godrej Properties Limited,Financial Results,06-02-2024
LTTS,L&T Technology Services Limited,Financial Results,16-01-2024
IIFLCAPS,IIFL Capital Services Limited,Financial Results/Other business matters,22-01-2024
JSWSTEEL,JSW Steel Limited,Financial Results/Fund Raising,25-01-2024
KABRAEXTRU,Kabra Extrusion Technik Limited,Financial Results,25-01-2024
GPTINFRA,GPT Infraprojects Limited,Financial Results/Dividend,30-01-2024
MEDPLUS,Medplus Health Services Limited,Financial Results/Other business matters,02-02-2024
DIAMONDYD,Prataap Snacks Limited,Financial Results,06-02-2024
SHAH,Shah Metacorp Limited,Other business matters,03-01-2024
DGCONTENT,Digicontent Limited,Financial Results,15-01-2024
JINDALSAW,Jindal Saw Limited,Financial Results,16-01-2024
NACLIND,NACL Industries Limited,Financial Results,23-01-2024
ZIMLAB,Zim Laboratories Limited,Financial Results,29-01-2024
SALASAR,Salasar Techno Engineering Limited,Financial Results,03-02-2024
SUKHJITS,Sukhjit Starch & Chemicals Limited,Dividend,03-01-2024
GALLANTT,Gallantt Ispat Limited,Financial Results,16-01-2024
ICRA,ICRA Limited,Financial Results,23-01-2024
UGROCAP,Ugro Capital Limited,Financial Results,23-01-2024
JSWSTEEL,JSW Steel Limited,Financial Results,25-01-2024
GOACARBON,Goa Carbon Limited,Dividend,16-01-2024
ATUL,Atul Limited,Financial Results,19-01-2024
GANGOTRI,Gangotri Textiles Limited,Financial Results,29-01-2024
MUTHOOTMF,Muthoot Microfin Limited,Financial Results,29-01-2024
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Financial Results,30-01-2024
DENORA,De Nora India Limited,Financial Results,02-02-2024
ONELIFECAP,Onelife Capital Advisors Limited,Financial Results,05-02-2024
LIBAS,Libas Consumer Products Limited,Other business matters,11-01-2024
GOODLUCK,Goodluck India Limited,Other business matters,17-01-2024
ANANTRAJ,Anant Raj Limited,Other business matters,18-01-2024
SHOPERSTOP,Shoppers Stop Limited,Financial Results/Other business matters,18-01-2024
ISFT,Intrasoft Technologies Limited,Fund Raising,19-01-2024
DWARKESH,Dwarikesh Sugar Industries Limited,Financial Results,30-01-2024
ATCOM,Atcom Technologies Limited,Other business matters,23-01-2024
TIPSMUSIC,Tips Music Limited,Financial Results/Dividend,23-01-2024
IEX,Indian Energy Exchange Limited,Financial Results/Dividend,25-01-2024
GRINDWELL,Grindwell Norton Limited,Financial Results,03-02-2024
LLOYDSME,Lloyds Metals And Energy Limited,Financial Results/Other business matters,22-01-2024
JSLL,Jeena Sikho Lifecare Limited,Other business matters,24-01-2024
NILKAMAL,Nilkamal Limited,Financial Results,31-01-2024
AETHER,Aether Industries Limited,Financial Results/Other business matters,01-02-2024
CESC,CESC Limited,Financial Results/Dividend,19-01-2024
IMFA,Indian Metals & Ferro Alloys Limited,Financial Results,30-01-2024
PPLPHARMA,Piramal Pharma Limited,Financial Results,30-01-2024
TEAMLEASE,Teamlease Services Limited,Financial Results,30-01-2024
KSHITIJPOL,Kshitij Polyline Limited,Fund Raising,31-01-2024
ARVSMART,Arvind SmartSpaces Limited,Financial Results,01-02-2024
QUESS,Quess Corp Limited,Financial Results,02-02-2024
BANCOINDIA,Banco Products (I) Limited,Financial Results/Dividend,05-02-2024
BLUEJET,Blue Jet Healthcare Limited,Financial Results,06-02-2024
AURIONPRO,Aurionpro Solutions Limited,Fund Raising,10-01-2024
RALLIS,Rallis India Limited,Financial Results,23-01-2024
KAPSTON,Kapston Services Limited,Financial Results,24-01-2024
RML,Rane (Madras) Limited,Financial Results,25-01-2024
BEL,Bharat Electronics Limited,Financial Results/Dividend,29-01-2024
SOMANYCERA,Somany Ceramics Limited,Financial Results,01-02-2024
WELENT,Welspun Enterprises Limited,Financial Results,01-02-2024
IRB,IRB Infrastructure Developers Limited,Other business matters,31-01-2024
RPOWER,Reliance Power Limited,Financial Results,03-02-2024
GRANULES,Granules India Limited,Financial Results,23-01-2024
REDTAPE,Redtape Limited,Financial Results,24-01-2024
SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,Financial Results,27-01-2024
CELEBRITY,Celebrity Fashions Limited,Fund Raising,02-02-2024
JASH,Jash Engineering Limited,Financial Results/Other business matters,02-02-2024
MIRZAINT,Mirza International Limited,Financial Results,03-02-2024
ASKAUTOLTD,ASK Automotive Limited,Financial Results,05-02-2024
GMBREW,GM Breweries Limited,Financial Results,04-01-2024
RELAXO,Relaxo Footwears Limited,Financial Results,31-01-2024
PERSISTENT,Persistent Systems Limited,Stock Split,20-01-2024
ZENSARTECH,Zensar Technologies Limited,Financial Results/Dividend,22-01-2024
CCCL,Consolidated Construction Consortium Limited,Financial Results,27-01-2024
DAMODARIND,Damodar Industries Limited,Financial Results,05-02-2024
GPIL,Godawari Power And Ispat limited,Financial Results,06-02-2024
20MICRONS,20 Microns Limited,Financial Results,25-01-2024
STLTECH,Sterlite Technologies Limited,Financial Results,25-01-2024
ANTGRAPHIC,Antarctica Limited,Financial Results,29-01-2024
SADHNANIQ,Sadhana Nitrochem Limited,Financial Results,30-01-2024
SYMPHONY,Symphony Limited,Financial Results/Dividend,30-01-2024
SBC,SBC Exports Limited,Financial Results,24-01-2024
TVSSCS,TVS Supply Chain Solutions Limited,Financial Results,05-02-2024
SHRADHA,Shradha Infraprojects Limited,Financial Results/Other business matters,16-01-2024
RPPL,Rajshree Polypack Limited,Bonus/Other business matters,17-01-2024
REPRO,Repro India Limited,Financial Results,02-02-2024
SOUTHBANK,The South Indian Bank Limited,Financial Results,18-01-2024
SIGACHI,Sigachi Industries Limited,Financial Results,19-01-2024
KARURVYSYA,Karur Vysya Bank Limited,Financial Results,22-01-2024
TIRUMALCHM,Thirumalai Chemicals Limited,Financial Results,24-01-2024
GANGOTRI,Gangotri Textiles Limited,Financial Results/Other business matters,29-01-2024
GATEWAY,Gateway Distriparks Limited,Financial Results/Dividend,29-01-2024
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,Financial Results,31-01-2024
CAMS,Computer Age Management Services Limited,Financial Results/Dividend,06-02-2024
HCLTECH,HCL Technologies Limited,Financial Results/Dividend,12-01-2024
SDBL,Som Distilleries & Breweries Limited,Financial Results/Other business matters,17-01-2024
KDDL,KDDL Limited,Dividend/Other business matters,18-01-2024
JAYNECOIND,Jayaswal Neco Industries Limited,Financial Results/Fund Raising/Other business matters,25-01-2024
PETRONET,Petronet LNG Limited,Financial Results,29-01-2024
TEXRAIL,Texmaco Rail & Engineering Limited,Financial Results/Other business matters,01-02-2024
AVG,AVG Logistics Limited,Fund Raising,12-01-2024
BILVYAPAR,BIL VYAPAR LIMITED,Other business matters,16-01-2024
INDOSTAR,IndoStar Capital Finance Limited,Financial Results/Fund Raising,24-01-2024
3IINFOLTD,3i Infotech Limited,Financial Results/Other business matters,31-01-2024
HINDZINC,Hindustan Zinc Limited,Financial Results,19-01-2024
BDL,Bharat Dynamics Limited,Financial Results/Other business matters,24-01-2024
UTKARSHBNK,Utkarsh Small Finance Bank Limited,Financial Results,27-01-2024
NELCAST,Nelcast Limited,Financial Results,29-01-2024
SHYAMMETL,Shyam Metalics and Energy Limited,Financial Results,30-01-2024
TEXINFRA,Texmaco Infrastructure & Holdings Limited,Financial Results/Other business matters,30-01-2024
PGHH,Procter & Gamble Hygiene and Health Care Limited,Financial Results/Dividend,31-01-2024
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,Financial Results,02-02-2024
TREL,Transindia Real Estate Limited,Financial Results,02-02-2024
ACE,Action Construction Equipment Limited,Financial Results,06-02-2024
BRIGADE,Brigade Enterprises Limited,Fund Raising,06-02-2024
FEDFINA,Fedbank Financial Services Limited,Financial Results,15-01-2024
HSCL,Himadri Speciality Chemical Limited,Financial Results,16-01-2024
SESHAPAPER,Seshasayee Paper and Boards Limited,Financial Results,20-01-2024
ORIENTHOT,Oriental Hotels Limited,Financial Results/Other business matters,22-01-2024
DCMFINSERV,DCM Financial Services Limited,Voluntary Delisting,24-01-2024
MAHSCOOTER,Maharashtra Scooters Limited,Financial Results,25-01-2024
SALASAR,Salasar Techno Engineering Limited,Fund Raising/Other business matters,25-01-2024
ADFFOODS,ADF Foods Limited,Financial Results,30-01-2024
IRBINVIT,IRB InvIT Fund,Financial Results/Other business matters,30-01-2024
NAVA,NAVA LIMITED,Financial Results,02-02-2024
REPL,Rudrabhishek Enterprises Limited,Financial Results/Other business matters,02-02-2024
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Financial Results,06-02-2024
EVEREADY,Eveready Industries India Limited,Financial Results,06-02-2024
HATHWAY,Hathway Cable & Datacom Limited,Financial Results,16-01-2024
HINDPETRO,Hindustan Petroleum Corporation Limited,Financial Results/Dividend,27-01-2024
FLEXITUFF,Flexituff Ventures International Limited,Financial Results,02-02-2024
GAEL,Gujarat Ambuja Exports Limited,Bonus,02-02-2024
AKZOINDIA,Akzo Nobel India Limited,Financial Results/Dividend,06-02-2024
EIDPARRY,EID Parry India Limited,Financial Results,06-02-2024
CSBBANK,CSB Bank Limited,Financial Results,29-01-2024
AMJLAND,Amj Land Holdings Limited,Financial Results,05-02-2024
CORALFINAC,Coral India Finance & Housing Limited,Financial Results/Other business matters,06-02-2024
EASEMYTRIP,Easy Trip Planners Limited,Other business matters,02-01-2024
CHENNPETRO,Chennai Petroleum Corporation Limited,Financial Results,22-01-2024
SHARDACROP,Sharda Cropchem Limited,Financial Results,24-01-2024
BBL,Bharat Bijlee Limited,Financial Results,12-01-2024
PKTEA,The Peria Karamalai Tea & Produce Company Limited,Financial Results,16-01-2024
PERSISTENT,Persistent Systems Limited,Financial Results/Dividend/Other business matters,20-01-2024
INDIGRID,IndiGrid Infrastructure Trust,Financial Results/Other business matters,25-01-2024
DODLA,Dodla Dairy Limited,Financial Results,27-01-2024
HINDCON,Hindcon Chemicals Limited,Financial Results,29-01-2024
JPPOWER,Jaiprakash Power Ventures Limited,Financial Results,29-01-2024
RRKABEL,R R Kabel Limited,Financial Results,29-01-2024
VOLTAMP,Voltamp Transformers Limited,Financial Results,29-01-2024
DBREALTY,Valor Estate Limited,Financial Results,31-01-2024
IEL,Indiabulls Enterprises Limited,Financial Results,02-02-2024
SUNDARMFIN,Sundaram Finance Limited,Financial Results,05-02-2024
JIOFIN,Jio Financial Services Limited,Financial Results,15-01-2024
HTMEDIA,HT Media Limited,Financial Results,19-01-2024
BALKRISIND,Balkrishna Industries Limited,Financial Results/Dividend,24-01-2024
PRIVISCL,Privi Speciality Chemicals Limited,Financial Results,25-01-2024
INDIAGLYCO,India Glycols Limited,Financial Results,02-02-2024
APLLTD,Alembic Pharmaceuticals Limited,Financial Results/Other business matters,05-02-2024
CGPOWER,CG Power and Industrial Solutions Limited,Financial Results/Dividend,23-01-2024
HEUBACHIND,Heubach Colorants India Limited,Financial Results,24-01-2024
LGBBROSLTD,LG Balakrishnan & Bros Limited,Financial Results,29-01-2024
RAMRAT,Ram Ratna Wires Limited,Financial Results,02-02-2024
SANGAMIND,Sangam (India) Limited,Financial Results,03-02-2024
DEN,Den Networks Limited,Financial Results,12-01-2024
SUNDROP,Sundrop Brands Limited,Financial Results,23-01-2024
YESBANK,Yes Bank Limited,Financial Results,27-01-2024
PNB,Punjab National Bank,Other business matters,29-01-2024
EVERESTIND,Everest Industries Limited,Financial Results,02-02-2024
ARMANFIN,Arman Financial Services Limited,Financial Results,03-02-2024
RAILTEL,Railtel Corporation Of India Limited,Financial Results,24-01-2024
SEPC,SEPC Limited,Fund Raising,29-01-2024
ANDHRAPAP,ANDHRA PAPER LIMITED,Financial Results,02-02-2024
ANMOL,Anmol India Limited,Financial Results,06-02-2024
UNIONBANK,Union Bank of India,Financial Results,20-01-2024
NAVKARCORP,Navkar Corporation Limited,Financial Results,23-01-2024
MANYAVAR,Vedant Fashions Limited,Fund Raising,25-01-2024
PEL,Piramal Enterprises Limited,Financial Results/Other business matters,29-01-2024
POLICYBZR,PB Fintech Limited,Financial Results/Other business matters,30-01-2024
TRITURBINE,Triveni Turbine Limited,Financial Results/Dividend,05-02-2024
PGINVIT,POWERGRID Infrastructure Investment Trust,Financial Results/Other business matters,24-01-2024
SIS,SIS LIMITED,Financial Results,30-01-2024
CLEAN,Clean Science and Technology Limited,Financial Results/Dividend,03-02-2024
BRITANNIA,Britannia Industries Limited,Financial Results,06-02-2024
CIGNITITEC,Cigniti Technologies Limited,Other business matters,06-02-2024
JASH,Jash Engineering Limited,Fund Raising/Other business matters,16-01-2024
AURUM,Aurum PropTech Limited,Financial Results/Other business matters,18-01-2024
MARUTI,Maruti Suzuki India Limited,Financial Results,31-01-2024
PRSMJOHNSN,Prism Johnson Limited,Financial Results,01-02-2024
HDFCAMC,HDFC Asset Management Company Limited,Financial Results,11-01-2024
DBCORP,D.B.Corp Limited,Financial Results,25-01-2024
GAIL,GAIL (India) Limited,Financial Results/Dividend,29-01-2024
MARICO,Marico Limited,Financial Results,29-01-2024
URJA,Urja Global Limited,Financial Results,30-01-2024
BCG,Brightcom Group Limited,Other business matters,02-02-2024
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Results,05-02-2024
FIEMIND,Fiem Industries Limited,Bonus,15-01-2024
NELCO,NELCO Limited,Financial Results,15-01-2024
GATECH,GACM Technologies Limited,Other business matters,20-01-2024
ORIENTELEC,Orient Electric Limited,Financial Results/Dividend,01-02-2024
HUBTOWN,Hubtown Limited,Fund Raising,24-01-2024
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,Other business matters,31-01-2024
BHARTIARTL,Bharti Airtel Limited,Financial Results,05-02-2024
FUSION,Fusion Finance Limited,Financial Results,05-02-2024
NEXTMEDIA,Next Mediaworks Limited,Financial Results/Other business matters,16-01-2024
INTENTECH,Intense Technologies Limited,Financial Results/Other business matters,19-01-2024
APCOTEXIND,Apcotex Industries Limited,Financial Results/Dividend,23-01-2024
POWERINDIA,Hitachi Energy India Limited,Financial Results,23-01-2024
WELINV,Welspun Investments and Commercials Limited,Financial Results,31-01-2024
TCNSBRANDS,TCNS Clothing Co. Limited,Financial Results,02-02-2024
EIHAHOTELS,EIH Associated Hotels Limited,Financial Results,05-02-2024
AGI,AGI Greenpac Limited,Financial Results/Other business matters,06-02-2024
FEDERALBNK,The Federal Bank  Limited,Financial Results,16-01-2024
SECURCRED,SecUR Credentials Limited,Financial Results/Other business matters,19-01-2024
ASAHIINDIA,Asahi India Glass Limited,Financial Results/Other business matters,25-01-2024
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Financial Results,01-02-2024
WEBELSOLAR,Websol Energy System Limited,Financial Results/Other business matters,19-01-2024
ROLLT,Rollatainers Limited,Financial Results/Other business matters,31-01-2024
RAYMOND,Raymond Limited,Financial Results,01-02-2024
INSECTICID,Insecticides (India) Limited,Financial Results/Other business matters,05-02-2024
SPECIALITY,Speciality Restaurants Limited,Financial Results,17-01-2024
KKCL,Kewal Kiran Clothing Limited,Financial Results/Dividend,20-01-2024
TATAELXSI,Tata Elxsi Limited,Financial Results,23-01-2024
COCHINSHIP,Cochin Shipyard Limited,Financial Results/Dividend,30-01-2024
THANGAMAYL,Thangamayil Jewellery Limited,Financial Results/Dividend,01-02-2024
AROGRANITE,Aro Granite Industries Limited,Financial Results,02-02-2024
NTL,Neueon Towers Limited,Financial Results,12-01-2024
HEADSUP,Heads UP Ventures Limited,Financial Results,30-01-2024
SUKHJITS,Sukhjit Starch & Chemicals Limited,Financial Results,30-01-2024
BYKE,The Byke Hospitality Ltd,Other business matters,04-01-2024
MODIRUBBER,Modi Rubber Limited,Other business matters,15-01-2024
HMVL,Hindustan Media Ventures Limited,Financial Results,18-01-2024
PAYTM,One 97 Communications Limited,Financial Results,19-01-2024
DCI,DC Infotech and Communication Limited,Fund Raising,20-01-2024
JUSTDIAL,Just Dial Limited,Financial Results,12-01-2024
GANDHAR,Gandhar Oil Refinery (India) Limited,Financial Results/Other business matters,23-01-2024
HFCL,HFCL Limited,Financial Results,25-01-2024
KANANIIND,Kanani Industries Limited,Other business matters,31-01-2024
GOKEX,Gokaldas Exports Limited,Financial Results/Fund Raising/Other business matters,01-02-2024
UFO,UFO Moviez India Limited,Financial Results,01-02-2024
