index_category,index,symbol,open,high,low,prev_close,ltp,indicative_close,chng,percent_chng,volume_shares,value_crores,high_52w,low_52w,percent_chng_30d,percent_chng_365d
SECTORAL_INDICES,NIFTY_METAL,NIFTY METAL,9612.6,9700.9,9572.1,9616.35,9681.65,,65.3,0.68,65907070.0,1722.9,10322.05,7690.2,4.12,5.09
SECTORAL_INDICES,NIFTY_METAL,NATIONALUM,207.0,213.0,205.2,206.67,212.43,,5.76,2.79,9198908.0,192.52,262.99,137.75,12.46,20.34
SECTORAL_INDICES,NIFTY_METAL,VEDL,436.0,446.8,435.6,435.7,445.8,,10.1,2.32,8277809.0,365.16,526.95,363.0,1.12,-4.54
SECTORAL_INDICES,NIFTY_METAL,NMDC,73.55,74.69,72.82,73.43,74.58,,1.15,1.57,16821803.0,124.2,82.83,59.53,3.72,-64.96
SECTORAL_INDICES,NIFTY_METAL,JSL,748.95,765.0,739.9,746.9,758.0,,11.1,1.49,462538.0,34.71,818.95,496.6,2.96,5.01
SECTORAL_INDICES,NIFTY_METAL,SAIL,127.8,129.6,126.71,127.57,129.3,,1.73,1.36,5711851.0,73.29,144.2,99.15,4.71,-1.49
SECTORAL_INDICES,NIFTY_METAL,HINDALCO,738.0,746.65,738.0,739.05,745.0,,5.95,0.81,2778157.0,206.41,772.65,546.45,8.61,11.02
SECTORAL_INDICES,NIFTY_METAL,HINDCOPPER,243.0,245.7,240.3,243.04,245.0,,1.96,0.81,1388790.0,33.77,353.0,183.82,-0.25,-22.59
SECTORAL_INDICES,NIFTY_METAL,HINDZINC,437.7,441.8,433.85,437.55,441.0,,3.45,0.79,1953089.0,85.45,575.4,378.15,4.8,-11.22
SECTORAL_INDICES,NIFTY_METAL,TATASTEEL,167.0,168.0,165.94,166.81,167.8,,0.99,0.59,16798170.0,280.58,170.18,122.62,5.69,10.52
SECTORAL_INDICES,NIFTY_METAL,JSWSTEEL,1069.0,1076.6,1063.0,1072.4,1074.9,,2.5,0.23,748933.0,80.15,1089.2,880.0,1.95,15.95
SECTORAL_INDICES,NIFTY_METAL,WELCORP,842.1,851.2,832.0,847.0,848.75,,1.75,0.21,229917.0,19.38,994.0,650.15,-2.72,21.59
SECTORAL_INDICES,NIFTY_METAL,ADANIENT,2275.0,2293.5,2248.0,2278.8,2282.5,,3.7,0.16,443010.0,100.73,3211.0,2025.0,-0.82,-24.34
SECTORAL_INDICES,NIFTY_METAL,JINDALSTEL,1031.85,1039.0,1027.2,1031.85,1032.5,,0.65,0.06,793972.0,82.03,1073.7,723.35,4.97,8.87
SECTORAL_INDICES,NIFTY_METAL,APLAPOLLO,1672.9,1680.0,1648.3,1672.9,1668.0,,-4.9,-0.29,153809.0,25.59,1936.0,1272.7,6.09,15.58
SECTORAL_INDICES,NIFTY_METAL,LLOYDSME,1297.0,1308.6,1283.7,1298.2,1292.0,,-6.2,-0.48,146314.0,18.92,1612.0,732.75,-11.16,65.98
STRATEGY_INDICES,NIFTY_SMALLCAP250_MOMENTUM_QUALITY_100,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,45081.7,45412.6,44878.7,45008.75,45030.9,,22.15,0.05,102009402.0,6829.57,,,0.11,-16.3
STRATEGY_INDICES,NIFTY_SMALLCAP250_MOMENTUM_QUALITY_100,GMDCLTD,455.2,515.0,451.9,455.2,508.0,,52.8,11.6,34448673.0,1724.29,515.0,226.59,28.49,39.76
STRATEGY_INDICES,NIFTY_SMALLCAP250_MOMENTUM_QUALITY_100,GODFRYPHLP,10500.0,11175.0,10360.0,10453.0,11058.0,,605.0,5.79,984110.0,1073.75,11465.0,4112.45,2.01,72.69
STRATEGY_INDICES,NIFTY_SMALLCAP250_MOMENTUM_QUALITY_100,SCHNEIDER,858.35,891.5,850.05,849.05,887.05,,38.0,4.48,95046.0,8.38,1052.0,540.0,-11.12,
STRATEGY_INDICES,NIFTY_SMALLCAP250_MOMENTUM_QUALITY_100,BEML,3950.0,4149.0,3940.2,3951.7,4089.0,,137.3,3.47,519369.0,212.32,4874.8,2350.0,3.3,0.59
STRATEGY_INDICES,NIFTY_SMALLCAP250_MOMENTUM_QUALITY_100,COHANCE,906.0,926.0,897.5,899.3,925.85,,26.55,2.95,83546.0,7.65,1360.0,856.3,-1.42,
